fua,NBPERS19,area,mean_Q219,mean_loypredm2,mean_TP60IP19,mean_T_day,mean_T_night
Amiens,320600.0,3127173150.159453,20980.10907673113,11.764459549374598,0.11190813162819711,30.952645242711572,13.119204118468208
Angers,414593.0,2451485479.242113,21890.434088371007,11.212595760523683,0.1563373573601098,31.260332430540043,16.389260467282888
Annecy,288070.0,1251309276.3391094,26216.739820182596,16.072157631360508,0.14193694588120942,30.910974476256037,14.266082262033162
Annemasse-Geneva (French part),397215.0,1736457257.8053567,31749.546467278426,16.567017126683425,0.19196601085054693,29.390119906513025,16.02623060204516
Arras,155304.0,1025720029.5996219,21743.124388296503,10.440635249113607,0.0983278859527121,33.88858309384779,14.528339744751127
Avignon,337269.0,957237671.2204847,20562.321796548156,11.644327315040371,0.18680895368385472,31.737628552966264,13.773292460274547
Bayonne,267093.0,1157550091.6127362,22576.979890899423,13.105849834073597,0.15750667744942773,34.125444795476824,18.955600366712517
Belfort,127829.0,642646053.0278966,21762.873056974553,9.553771902223469,0.11259292492313952,31.40318110971824,13.716861573740756
Besançon,258763.0,2550243698.353211,22008.10370879917,10.904972912917016,0.09542884029014967,32.141079269449385,15.536114471279282
Bordeaux,1328163.0,6378255158.4771,23245.783612402996,12.980838184096692,0.17486447823045817,32.96150447416531,15.993285230649521
Boulogne-sur-mer,156388.0,672531826.1258535,19688.948832391234,10.272092440361131,0.13211955520883956,32.503593637873344,14.551739736806608
Bourges,169636.0,2677650135.221913,21747.096842651325,9.413243773700975,0.12260431747978023,30.84161455602042,15.705509554701782
Brest,353725.0,1270416423.6921227,22489.2384762174,10.634456104684345,0.14732726553113293,30.29694409883272,15.475556629305386
Béziers,197301.0,933524132.7682685,18938.368888145524,10.250063111007982,0.17883470940339888,31.897771385846152,15.199330931647049
Caen,447397.0,2650803381.947044,22266.138999590967,11.12790523148799,0.10737728013375146,31.409164869865545,13.730624442989983
Calais,144618.0,513792918.83024716,19329.252029484574,11.217024329653881,0.14589609868757691,32.02736630618756,14.561265957795227
Cannes-Antibes,405057.0,437653234.61938375,22923.153605541935,16.581541759930175,0.21067361136827656,32.27966376694212,14.621532715470467
Cayenne,0.0,4871320564.813163,,,,30.640580724298875,13.823484405956986
Chambéry,252301.0,1195534168.2841377,23522.916437112814,12.962942196690038,0.12817770044510327,32.423182336379455,14.356340558702616
Chartres,169244.0,1939026121.3879194,22593.232315473517,10.972934654039864,0.10503847699179883,32.49513689722076,15.26043761054556
Cherbourg-en-Cotentin,151955.0,1032430233.9746971,22233.53018985884,9.80041765298681,0.1263480635714521,31.411652931379233,15.231629466005723
Clermont-Ferrand,480330.0,2864473395.780786,22757.805196427456,10.353053158793374,0.13106618158349467,31.337634264487303,16.280211129224632
Colmar,192811.0,1106786616.144372,23085.272313301626,11.251424890867952,0.10201193396642308,33.3962905477907,15.019949865802534
Dijon,379778.0,3921096360.8316193,22911.98547572529,11.170536995533935,0.1244069877665373,31.679843915757186,14.620286409063448
Douai,193666.0,385340327.3463602,19132.77534518191,10.079063061575742,0.1506956099676763,32.5825282088158,14.326702312014499
Dunkerque,255279.0,882900257.5079441,20314.175705796402,10.905857214054967,0.1435840981827726,29.419981432507896,14.366954012861289
Fort-de-France,310588.0,934790408.3732846,18937.344681700517,14.29708307335658,0.23247058160650122,32.811380533913066,14.145418333641038
Fréjus,128509.0,438970314.45322376,22109.48291559346,15.063646667660855,0.21761000396859362,30.28423925548353,14.65995419092219
Grenoble,686484.0,2932187938.0606403,23821.285973161794,12.216573866293707,0.14469594630027793,29.655027263139758,16.14738215458845
Hayange,281547.0,1042774402.9354337,23291.551712502707,12.199113077679119,0.19902180097816707,31.715167608575754,13.67863196211351
La Rochelle,239597.0,1199421456.149604,22688.29618067004,12.459971876681523,0.13077921676815654,32.46450504639858,14.911638088450768
Le Havre,328769.0,1023080520.9335513,21442.505376115143,10.970530412676357,0.14341417226076666,31.521564346288287,15.65709739692291
Le Mans,360284.0,2351629029.984187,21554.434196356207,9.690328487911943,0.12841869469640618,32.105335545637985,14.142536134371912
Lens,315261.0,351594915.7289601,18173.290353072534,10.337911028115226,0.17874031040947025,31.85136032636809,16.44642382532675
Lille,1446460.0,1697531623.6314213,21522.891735685742,12.709727584925485,0.17256363397536054,30.978997489696887,13.071837225929242
Limoges,304519.0,3437838622.4591007,21261.5963535937,9.339048852483291,0.1313522703016889,29.109095341587807,15.349095657457239
Lorient,223978.0,851395657.3436998,21958.74389448964,11.343599659536608,0.179899307074802,32.28820585519371,15.05318224657044
Lyon,2188042.0,4645982693.626187,23664.00625307924,13.145112824536772,0.16334526439620445,34.25835390375225,17.071586701937076
Mamoudzou,0.0,362293132.92430043,,,,32.564228663891164,15.02900685197925
Marseille,1800529.0,3968003131.8261585,22052.27974667445,14.546406720811296,0.20896068988613903,36.04070832611606,19.03679890677129
Metz,357503.0,1923965299.9725568,22409.205069607808,10.845350096890098,0.13987620803182071,33.52472453234233,16.96061530879361
Montbéliard,175885.0,941304555.5221881,21028.191431901527,9.07216699768906,0.12145682121840976,30.679174298588983,13.194417189550034
Montpellier,750027.0,2532903643.716935,21614.21886145432,13.38024421897842,0.18527392080551766,36.91136062783945,20.184123173402973
Mulhouse,400089.0,1235312619.3932674,21948.375686409774,11.131242646134249,0.14196344813279044,31.837323468114516,16.501341958645188
Nancy,468255.0,3165563942.291902,21963.088616245423,10.26392711016752,0.14667556139283083,30.272514659211318,12.861982438000114
Nantes,977022.0,3545527575.4812074,23500.83375809347,12.243110093764818,0.1672658425296462,33.79587951347418,14.490185493551689
Nice,617582.0,2067459086.6464438,22040.30846106266,16.66207178823864,0.207859563588317,29.774683234251736,17.286264809622722
Nîmes,338291.0,1472995713.6209414,20005.921085692495,11.52474792528139,0.17715717828733252,31.56397684576006,15.603101216462996
Orléans,433771.0,3442601606.368983,22617.60113055045,11.26412814165049,0.13495355844443266,31.046103180712723,13.078075613420665
Paris,12846778.0,19078459953.447155,24958.887976424907,19.04440486702936,0.21047642303774533,31.392158407457664,13.98264703388927
Pau,276908.0,2200675472.919313,22485.912649688704,10.370053359827686,0.12268544426307654,32.06051677309385,13.851320406914772
Perpignan,406973.0,1826396597.233849,19445.552235651998,10.792842594633608,0.18259460209891074,30.674549467669166,14.803661964501078
Poitiers,255346.0,2606755179.893538,21736.00972797694,9.612222707909767,0.1349110422720544,32.416220759127484,14.337121736713316
Quimper,233770.0,1469193869.1264718,22154.268255122555,10.494104750284729,0.1509655302220131,35.775670556557564,18.881902345654716
Reims,333768.0,3275252236.9318175,21782.884668392417,10.974765837154088,0.1284392392320414,31.355525513827285,12.729606354424732
Rennes,714350.0,3836007385.3074107,23087.81852033317,11.202417371866439,0.14622285714285715,35.412726953787526,17.04137143632558
